des_name,hba_moles,hbd_moles,hbd_hba_ratio,temperature_c,inv_temperature,temp_x_dipole,temp_x_solvation,weighted_lumo_energy_ev,weighted_dipole_total,weighted_solvation_energy_eh,weighted_dispersion_energy_eh,weighted_total_energy_eh,dipole_total_difference,total_energy_eh_difference,hba_mw,hbd_mw,avg_molecular_weight,mw_ratio,hba_hbd_count,hbd_hbd_count,hba_hba_count,hbd_hba_count,total_hbond_donors,total_hbond_acceptors,hbond_network_strength,donor_acceptor_ratio,interaction_strength,viscosity_cp
Cr:EG,1.0,1.0,1.0,25,3.354016435,-26.625,-0.476413975,-3.2439,-1.065,-0.019056559,-0.007316255,-20.08789148,0.724,9.253043183,112.13,62.07,87.1,1.80650878,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.026372814,1.1419
Cr:EG,1.0,1.0,1.0,30,3.298697015,-31.95,-0.57169677,-3.2439,-1.065,-0.019056559,-0.007316255,-20.08789148,0.724,9.253043183,112.13,62.07,87.1,1.80650878,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.026372814,125.0
Cr:EG,1.0,1.0,1.0,35,3.245172805,-37.275,-0.666979565,-3.2439,-1.065,-0.019056559,-0.007316255,-20.08789148,0.724,9.253043183,112.13,62.07,87.1,1.80650878,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.026372814,58.7
Cr:EG,1.0,1.0,1.0,40,3.193357816,-42.6,-0.76226236,-3.2439,-1.065,-0.019056559,-0.007316255,-20.08789148,0.724,9.253043183,112.13,62.07,87.1,1.80650878,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.026372814,30.6
Cr:EG,1.0,1.0,1.0,45,3.14317146,-47.925,-0.857545155,-3.2439,-1.065,-0.019056559,-0.007316255,-20.08789148,0.724,9.253043183,112.13,62.07,87.1,1.80650878,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.026372814,23.8
Cr:EG,1.0,1.0,1.0,50,3.09453814,-53.25,-0.95282795,-3.2439,-1.065,-0.019056559,-0.007316255,-20.08789148,0.724,9.253043183,112.13,62.07,87.1,1.80650878,0.0,2.0,2.0,2.0,2.0,4.0,2.828427125,0.5,-0.026372814,18.7
CC:EG,1.0,1.0,1.0,25,3.354016435,-19.95,-1.601422725,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,104.17,62.07,83.12,1.678266473,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,-0.065885875,1.0245
CC:EG,1.0,1.0,1.0,30,3.298697015,-23.94,-1.92170727,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,104.17,62.07,83.12,1.678266473,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,-0.065885875,97.8
CC:EG,1.0,1.0,1.0,35,3.245172805,-27.93,-2.241991815,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,104.17,62.07,83.12,1.678266473,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,-0.065885875,43.8
CC:EG,1.0,1.0,1.0,40,3.193357816,-31.92,-2.56227636,2.2297,-0.798,-0.064056909,-0.001828966,-10.18011561,1.258,10.56250854,104.17,62.07,83.12,1.678266473,1.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,-0.065885875,20.2
